country,month,sector,annex,risk_zone,n_cyber_tenders,n_ict72_tenders,est_value_cyber_real,treat_month,post_eforms
BE,2021-01,banking_finance,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-01,defence,,0,0.0,0.0,0.0,2024-10,0
BE,2021-01,education,,0,0.0,0.0,0.0,2024-10,0
BE,2021-01,energy_gas,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-01,energy_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-01,environment,,0,0.0,0.0,0.0,2024-10,0
BE,2021-01,health,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-01,housing,,0,0.0,0.0,0.0,2024-10,0
BE,2021-01,other_unknown,,0,0.0,22.0,0.0,2024-10,0
BE,2021-01,postal,II,0,0.0,0.0,0.0,2024-10,0
BE,2021-01,public_admin,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-01,public_order,,0,0.0,0.0,0.0,2024-10,0
BE,2021-01,recreation,,0,0.0,0.0,0.0,2024-10,0
BE,2021-01,social,,0,0.0,0.0,0.0,2024-10,0
BE,2021-01,space,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-01,transport_maritime,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-01,transport_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-01,water,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-02,banking_finance,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-02,defence,,0,0.0,0.0,0.0,2024-10,0
BE,2021-02,education,,0,0.0,0.0,0.0,2024-10,0
BE,2021-02,energy_gas,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-02,energy_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-02,environment,,0,0.0,0.0,0.0,2024-10,0
BE,2021-02,health,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-02,housing,,0,0.0,0.0,0.0,2024-10,0
BE,2021-02,other_unknown,,0,0.0,47.0,0.0,2024-10,0
BE,2021-02,postal,II,0,0.0,0.0,0.0,2024-10,0
BE,2021-02,public_admin,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-02,public_order,,0,0.0,0.0,0.0,2024-10,0
BE,2021-02,recreation,,0,0.0,0.0,0.0,2024-10,0
BE,2021-02,social,,0,0.0,0.0,0.0,2024-10,0
BE,2021-02,space,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-02,transport_maritime,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-02,transport_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-02,water,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-03,banking_finance,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-03,defence,,0,0.0,0.0,0.0,2024-10,0
BE,2021-03,education,,0,0.0,0.0,0.0,2024-10,0
BE,2021-03,energy_gas,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-03,energy_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-03,environment,,0,0.0,0.0,0.0,2024-10,0
BE,2021-03,health,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-03,housing,,0,0.0,0.0,0.0,2024-10,0
BE,2021-03,other_unknown,,0,0.0,46.0,0.0,2024-10,0
BE,2021-03,postal,II,0,0.0,0.0,0.0,2024-10,0
BE,2021-03,public_admin,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-03,public_order,,0,0.0,0.0,0.0,2024-10,0
BE,2021-03,recreation,,0,0.0,0.0,0.0,2024-10,0
BE,2021-03,social,,0,0.0,0.0,0.0,2024-10,0
BE,2021-03,space,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-03,transport_maritime,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-03,transport_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-03,water,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-04,banking_finance,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-04,defence,,0,0.0,0.0,0.0,2024-10,0
BE,2021-04,education,,0,0.0,0.0,0.0,2024-10,0
BE,2021-04,energy_gas,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-04,energy_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-04,environment,,0,0.0,0.0,0.0,2024-10,0
BE,2021-04,health,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-04,housing,,0,0.0,0.0,0.0,2024-10,0
BE,2021-04,other_unknown,,0,0.0,47.0,0.0,2024-10,0
BE,2021-04,postal,II,0,0.0,0.0,0.0,2024-10,0
BE,2021-04,public_admin,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-04,public_order,,0,0.0,0.0,0.0,2024-10,0
BE,2021-04,recreation,,0,0.0,0.0,0.0,2024-10,0
BE,2021-04,social,,0,0.0,0.0,0.0,2024-10,0
BE,2021-04,space,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-04,transport_maritime,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-04,transport_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-04,water,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-05,banking_finance,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-05,defence,,0,0.0,0.0,0.0,2024-10,0
BE,2021-05,education,,0,0.0,0.0,0.0,2024-10,0
BE,2021-05,energy_gas,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-05,energy_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-05,environment,,0,0.0,0.0,0.0,2024-10,0
BE,2021-05,health,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-05,housing,,0,0.0,0.0,0.0,2024-10,0
BE,2021-05,other_unknown,,0,0.0,34.0,0.0,2024-10,0
BE,2021-05,postal,II,0,0.0,0.0,0.0,2024-10,0
BE,2021-05,public_admin,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-05,public_order,,0,0.0,0.0,0.0,2024-10,0
BE,2021-05,recreation,,0,0.0,0.0,0.0,2024-10,0
BE,2021-05,social,,0,0.0,0.0,0.0,2024-10,0
BE,2021-05,space,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-05,transport_maritime,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-05,transport_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-05,water,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-06,banking_finance,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-06,defence,,0,0.0,0.0,0.0,2024-10,0
BE,2021-06,education,,0,0.0,0.0,0.0,2024-10,0
BE,2021-06,energy_gas,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-06,energy_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-06,environment,,0,0.0,0.0,0.0,2024-10,0
BE,2021-06,health,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-06,housing,,0,0.0,0.0,0.0,2024-10,0
BE,2021-06,other_unknown,,0,0.0,58.0,0.0,2024-10,0
BE,2021-06,postal,II,0,0.0,0.0,0.0,2024-10,0
BE,2021-06,public_admin,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-06,public_order,,0,0.0,0.0,0.0,2024-10,0
BE,2021-06,recreation,,0,0.0,0.0,0.0,2024-10,0
BE,2021-06,social,,0,0.0,0.0,0.0,2024-10,0
BE,2021-06,space,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-06,transport_maritime,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-06,transport_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-06,water,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-07,banking_finance,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-07,defence,,0,0.0,0.0,0.0,2024-10,0
BE,2021-07,education,,0,0.0,0.0,0.0,2024-10,0
BE,2021-07,energy_gas,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-07,energy_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-07,environment,,0,0.0,0.0,0.0,2024-10,0
BE,2021-07,health,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-07,housing,,0,0.0,0.0,0.0,2024-10,0
BE,2021-07,other_unknown,,0,1.0,51.0,0.0,2024-10,0
BE,2021-07,postal,II,0,0.0,0.0,0.0,2024-10,0
BE,2021-07,public_admin,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-07,public_order,,0,0.0,0.0,0.0,2024-10,0
BE,2021-07,recreation,,0,0.0,0.0,0.0,2024-10,0
BE,2021-07,social,,0,0.0,0.0,0.0,2024-10,0
BE,2021-07,space,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-07,transport_maritime,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-07,transport_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-07,water,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-08,banking_finance,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-08,defence,,0,0.0,0.0,0.0,2024-10,0
BE,2021-08,education,,0,0.0,0.0,0.0,2024-10,0
BE,2021-08,energy_gas,I,1,0.0,0.0,0.0,2024-10,0
BE,2021-08,energy_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2021-08,environment,,0,0.0,0.0,0.0,2024-10,0
