country,month,category,n_tenders,est_total_eur,est_median_eur,est_total_eur_real,est_median_eur_real,n_awards,awd_total_eur,awd_median_eur,awd_total_eur_real,awd_median_eur_real,value_missing_share,group,treat_date,treat_month,treat_month_alt,treated,rel_month,post_eforms,month_2023_10
BE,2021-01,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-45.0,0,0
BE,2021-01,cyber_strict,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-45.0,0,0
BE,2021-01,ict_generic,21.0,,,,,35.0,140041693.60999998,499637.0,145099620.66620117,517682.5365501143,0.4642857142857143,early,2024-10-18,2024-10,2024-11,0,-45.0,0,0
BE,2021-01,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-45.0,0,0
BE,2021-02,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-44.0,0,0
BE,2021-02,cyber_strict,0.0,0.0,,0.0,,1.0,744255.4,744255.4,762228.3809879598,762228.3809879598,0.0,early,2024-10-18,2024-10,2024-11,0,-44.0,0,0
BE,2021-02,ict_generic,44.0,,,,,23.0,19855535.83,785400.0,20335026.0264814,804366.579574624,0.746268656716418,early,2024-10-18,2024-10,2024-11,0,-44.0,0,0
BE,2021-02,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-44.0,0,0
BE,2021-03,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-43.0,0,0
BE,2021-03,cyber_strict,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-43.0,0,0
BE,2021-03,ict_generic,46.0,,,,,25.0,20924777.740000002,521390.0,21237340.854995158,529178.2443747919,0.7464788732394366,early,2024-10-18,2024-10,2024-11,0,-43.0,0,0
BE,2021-03,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-43.0,0,0
BE,2021-04,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-42.0,0,0
