currency,month,nac_per_eur
CZK,2020-01,25.216
CZK,2020-02,25.051
CZK,2020-03,26.575
CZK,2020-04,27.262
CZK,2020-05,27.269
CZK,2020-06,26.681
CZK,2020-07,26.514
CZK,2020-08,26.167
CZK,2020-09,26.741
CZK,2020-10,27.213
CZK,2020-11,26.466
CZK,2020-12,26.311
CZK,2021-01,26.141
CZK,2021-02,25.876
CZK,2021-03,26.178
CZK,2021-04,25.924
CZK,2021-05,25.558
CZK,2021-06,25.454
CZK,2021-07,25.636
CZK,2021-08,25.47
CZK,2021-09,25.392
CZK,2021-10,25.496
CZK,2021-11,25.391
CZK,2021-12,25.246
CZK,2022-01,24.47
CZK,2022-02,24.437
CZK,2022-03,25.007
CZK,2022-04,24.435
CZK,2022-05,24.75
CZK,2022-06,24.719
CZK,2022-07,24.594
CZK,2022-08,24.568
CZK,2022-09,24.576
CZK,2022-10,24.528
CZK,2022-11,24.369
CZK,2022-12,24.269
CZK,2023-01,23.958
CZK,2023-02,23.712
CZK,2023-03,23.683
CZK,2023-04,23.437
CZK,2023-05,23.595
CZK,2023-06,23.695
CZK,2023-07,23.892
CZK,2023-08,24.108
CZK,2023-09,24.38
CZK,2023-10,24.584
CZK,2023-11,24.485
CZK,2023-12,24.478
CZK,2024-01,24.716
CZK,2024-02,25.232
CZK,2024-03,25.292
CZK,2024-04,25.278
CZK,2024-05,24.818
CZK,2024-06,24.779
CZK,2024-07,25.299
CZK,2024-08,25.179
CZK,2024-09,25.099
CZK,2024-10,25.298
CZK,2024-11,25.301
CZK,2024-12,25.136
CZK,2025-01,25.163
CZK,2025-02,25.077
CZK,2025-03,25.001
CZK,2025-04,25.039
CZK,2025-05,24.923
CZK,2025-06,24.804
CZK,2025-07,24.625
CZK,2025-08,24.517
CZK,2025-09,24.347
CZK,2025-10,24.315
CZK,2025-11,24.234
CZK,2025-12,24.259
CZK,2026-01,24.278
CZK,2026-02,24.26
CZK,2026-03,24.438
CZK,2026-04,24.381
CZK,2026-05,24.313
CZK,2026-06,24.208
CZK,2026-07,24.207
CZK,2026-08,24.179
DKK,2020-01,7.4729
DKK,2020-02,7.4713
DKK,2020-03,7.4703
DKK,2020-04,7.4617
DKK,2020-05,7.4577
DKK,2020-06,7.4548
DKK,2020-07,7.4467
DKK,2020-08,7.446
DKK,2020-09,7.4418
DKK,2020-10,7.4424
DKK,2020-11,7.4459
DKK,2020-12,7.4412
DKK,2021-01,7.4387
DKK,2021-02,7.4367
DKK,2021-03,7.4363
DKK,2021-04,7.4367
DKK,2021-05,7.4362
DKK,2021-06,7.4364
DKK,2021-07,7.4373
DKK,2021-08,7.4369
DKK,2021-09,7.4361
DKK,2021-10,7.4398
DKK,2021-11,7.4373
DKK,2021-12,7.4362
DKK,2022-01,7.4411
DKK,2022-02,7.4408
DKK,2022-03,7.4404
DKK,2022-04,7.4391
DKK,2022-05,7.4405
DKK,2022-06,7.4392
DKK,2022-07,7.4426
DKK,2022-08,7.4393
DKK,2022-09,7.4366
DKK,2022-10,7.4389
DKK,2022-11,7.4387
DKK,2022-12,7.4377
DKK,2023-01,7.4383
DKK,2023-02,7.4447
DKK,2023-03,7.4456
DKK,2023-04,7.4518
DKK,2023-05,7.4485
DKK,2023-06,7.4492
DKK,2023-07,7.4508
DKK,2023-08,7.4522
DKK,2023-09,7.4566
DKK,2023-10,7.4604
DKK,2023-11,7.4581
DKK,2023-12,7.4556
DKK,2024-01,7.4572
DKK,2024-02,7.455
DKK,2024-03,7.4566
DKK,2024-04,7.4596
DKK,2024-05,7.4606
DKK,2024-06,7.4592
DKK,2024-07,7.4606
DKK,2024-08,7.4614
DKK,2024-09,7.46
DKK,2024-10,7.4593
DKK,2024-11,7.4583
DKK,2024-12,7.4589
DKK,2025-01,7.4609
DKK,2025-02,7.4592
DKK,2025-03,7.4597
DKK,2025-04,7.4648
DKK,2025-05,7.46
DKK,2025-06,7.4597
DKK,2025-07,7.4625
DKK,2025-08,7.4638
DKK,2025-09,7.4644
DKK,2025-10,7.468
DKK,2025-11,7.4679
DKK,2025-12,7.4696
DKK,2026-01,7.4703
DKK,2026-02,7.4702
DKK,2026-03,7.4717
DKK,2026-04,7.4728
DKK,2026-05,7.4728
DKK,2026-06,7.4744
DKK,2026-07,7.4752
DKK,2026-08,7.4755
HUF,2020-01,334.38
HUF,2020-02,337.17
HUF,2020-03,345.68
HUF,2020-04,356.69
HUF,2020-05,350.76
HUF,2020-06,347.69
HUF,2020-07,351.16
HUF,2020-08,348.93
HUF,2020-09,360.61
HUF,2020-10,362.53
HUF,2020-11,359.84
HUF,2020-12,359.02
HUF,2021-01,359.19
HUF,2021-02,358.15
HUF,2021-03,365.61
HUF,2021-04,360.58
HUF,2021-05,353.65
HUF,2021-06,349.94
HUF,2021-07,357.26
HUF,2021-08,351.84
HUF,2021-09,352.51
HUF,2021-10,360.82
HUF,2021-11,364.5
HUF,2021-12,367.5
