geo,month,hicp_i15,hicp_2021_100
BE,2020-01,107.17,95.93232729361392
BE,2020-02,108.74,97.3376996352298
BE,2020-03,108.32,96.96174015530707
BE,2020-04,108.1,96.76480899915708
BE,2020-05,107.92,96.60368350776163
BE,2020-06,108.33,96.97069157149572
BE,2020-07,109.05,97.61519353707752
BE,2020-08,107.38,96.12030703357527
BE,2020-09,108.21,96.86327457723208
BE,2020-10,108.47,97.09601139813661
BE,2020-11,108.27,96.9169830743639
BE,2020-12,108.76,97.35560246760707
BE,2021-01,107.82,96.51416934587527
BE,2021-02,109.08,97.64204778564343
BE,2021-03,110.07,98.5282379883184
BE,2021-04,110.32,98.7520233930343
BE,2021-05,110.62,99.0205658786934
BE,2021-06,111.11,99.45918527193656
BE,2021-07,110.58,98.98476021393886
BE,2021-08,112.41,100.62286937645928
BE,2021-09,112.35,100.56916087932746
BE,2021-10,114.33,102.34154128467743
BE,2021-11,115.95,103.79167070723649
BE,2021-12,115.93,103.77376787485922
BE,2022-01,116.99,104.72261799085464
BE,2022-02,119.49,106.96047203801369
BE,2022-03,120.28,107.66763391691595
BE,2022-04,120.61,107.96303065114094
BE,2022-05,121.61,108.85817227000456
BE,2022-06,122.82,109.94129362882954
BE,2022-07,122.03,109.23413174992729
BE,2022-08,124.24,111.21239472761586
BE,2022-09,125.9,112.6983298149295
BE,2022-10,129.3,115.7418113190658
BE,2022-11,128.07,114.64078712786352
BE,2022-12,127.77,114.37224464220444
BE,2023-01,125.66,112.4834958264022
BE,2023-02,125.99,112.77889256062721
BE,2023-03,126.23,112.99372654915447
BE,2023-04,124.65,111.57940279134996
BE,2023-05,124.91,111.8121396122545
BE,2023-06,124.79,111.70472261799087
BE,2023-07,124.05,111.04231782003178
BE,2023-08,127.2,113.86201391945218
BE,2023-09,126.73,113.44129735858628
BE,2023-10,127.15,113.81725683850901
BE,2023-11,127.05,113.72774267662264
BE,2023-12,128.45,114.98094094303171
BE,2024-01,127.51,114.13950782129992
BE,2024-02,130.54,116.85178692645665
BE,2024-03,131.05,117.30830915207713
BE,2024-04,130.72,117.01291241785212
BE,2024-05,130.98,117.24564923875664
BE,2024-06,131.56,117.76483137769756
BE,2024-07,130.76,117.04871808260665
BE,2024-08,132.73,118.81214707176797
BE,2024-09,132.21,118.34667342995893
BE,2024-10,132.9,118.96432114697481
BE,2024-11,133.13,119.17020371931343
BE,2024-12,134.12,120.05639392198842
BE,2025-01,133.07,119.11649522218161
BE,2025-02,136.32,122.02570548348837
BE,2025-03,135.71,121.47966909598158
BE,2025-04,134.79,120.65613880662704
BE,2025-05,134.67,120.5487218123634
BE,2025-06,135.32,121.13056386462475
BE,2025-07,134.17,120.1011510029316
BE,2025-08,136.19,121.90933707303611
BE,2025-09,135.76,121.52442617692473
BE,2025-10,136.26,121.97199698635654
BE,2025-11,136.61,122.28529655295884
BE,2025-12,137.04,122.67020744907018
CZ,2020-01,110.5,96.045197740113
CZ,2020-02,110.8,96.30595393307257
CZ,2020-03,110.8,96.30595393307257
CZ,2020-04,110.6,96.13211647109952
CZ,2020-05,111.1,96.56671012603216
CZ,2020-06,111.7,97.08822251195133
CZ,2020-07,112.3,97.6097348978705
CZ,2020-08,112.3,97.6097348978705
CZ,2020-09,111.6,97.0013037809648
CZ,2020-10,111.7,97.08822251195133
CZ,2020-11,111.6,97.0013037809648
CZ,2020-12,111.4,96.82746631899175
CZ,2021-01,112.9,98.13124728378966
CZ,2021-02,113.1,98.3050847457627
CZ,2021-03,113.3,98.47892220773576
CZ,2021-04,114.0,99.08735332464146
CZ,2021-05,114.1,99.174272055628
CZ,2021-06,114.5,99.52194697957411
CZ,2021-07,115.3,100.21729682746631
CZ,2021-08,115.8,100.65189048239895
CZ,2021-09,116.1,100.91264667535853
CZ,2021-10,117.1,101.78183398522383
CZ,2021-11,117.0,101.69491525423729
CZ,2021-12,117.4,102.0425901781834
CZ,2022-01,122.8,106.7362016514559
CZ,2022-02,124.4,108.12690134724035
CZ,2022-03,126.8,110.21295089091699
CZ,2022-04,129.1,112.21208170360713
CZ,2022-05,131.5,114.29813124728379
CZ,2022-06,133.5,116.03650586701436
CZ,2022-07,135.2,117.5141242937853
CZ,2022-08,135.6,117.86179921773142
CZ,2022-09,136.8,118.90482398956976
CZ,2022-10,135.3,117.60104302477185
CZ,2022-11,137.1,119.16558018252934
CZ,2022-12,137.1,119.16558018252934
CZ,2023-01,146.2,127.07518470230335
CZ,2023-02,147.3,128.03129074315515
CZ,2023-03,147.7,128.37896566710126
CZ,2023-04,147.5,128.2051282051282
CZ,2023-05,147.9,128.55280312907433
CZ,2023-06,148.4,128.98739678400696
CZ,2023-07,149.0,129.5089091699261
CZ,2023-08,149.3,129.76966536288572
CZ,2023-09,148.1,128.72664059104736
CZ,2023-10,148.1,128.72664059104736
CZ,2023-11,148.1,128.72664059104736
CZ,2023-12,147.5,128.2051282051282
CZ,2024-01,150.1,130.46501521077792
CZ,2024-02,150.6,130.89960886571055
CZ,2024-03,150.9,131.16036505867015
CZ,2024-04,152.1,132.20338983050848
CZ,2024-05,152.0,132.11647109952196
CZ,2024-06,151.6,131.76879617557583
CZ,2024-07,152.7,132.72490221642764
CZ,2024-08,152.9,132.89873967840072
CZ,2024-09,152.2,132.290308561495
CZ,2024-10,152.6,132.6379834854411
CZ,2024-11,152.7,132.72490221642764
CZ,2024-12,152.3,132.37722729248154
CZ,2025-01,154.5,134.28943937418515
CZ,2025-02,154.8,134.55019556714473
CZ,2025-03,154.9,134.63711429813125
CZ,2025-04,154.7,134.4632768361582
CZ,2025-05,155.5,135.1586266840504
CZ,2025-06,155.8,135.41938287701
CZ,2025-07,156.5,136.02781399391571
CZ,2025-08,156.5,136.02781399391571
CZ,2025-09,155.3,134.98478922207738
CZ,2025-10,156.1,135.68013906996958
CZ,2025-11,155.5,135.1586266840504
CZ,2025-12,155.0,134.72403302911778
DE,2020-01,105.1,96.20871157220229
DE,2020-02,105.7,96.75795255168205
DE,2020-03,105.8,96.84949271492866
DE,2020-04,106.2,97.21565336791517
DE,2020-05,106.2,97.21565336791517
DE,2020-06,106.9,97.85643451064155
DE,2020-07,106.4,97.39873369440842
DE,2020-08,106.2,97.21565336791517
DE,2020-09,105.8,96.84949271492866
DE,2020-10,105.8,96.84949271492866
DE,2020-11,104.7,95.8425509192158
DE,2020-12,105.3,96.39179189869554
DE,2021-01,106.8,97.76489434739491
DE,2021-02,107.4,98.31413532687466
DE,2021-03,107.9,98.77183614310778
DE,2021-04,108.4,99.22953695934092
DE,2021-05,108.7,99.50415744908078
DE,2021-06,109.1,99.87031810206727
DE,2021-07,109.7,100.41955908154702
DE,2021-08,109.8,100.51109924479364
DE,2021-09,110.1,100.78571973453352
DE,2021-10,110.7,101.33496071401326
DE,2021-11,111.0,101.60958120375314
DE,2021-12,111.3,101.88420169349301
DE,2022-01,112.3,102.79960332595925
DE,2022-02,113.3,103.7150049584255
DE,2022-03,116.1,106.27812952933098
DE,2022-04,116.9,107.01045083530398
DE,2022-05,118.2,108.2004729575101
DE,2022-06,118.1,108.10893279426348
DE,2022-07,119.0,108.9327942634831
DE,2022-08,119.5,109.3904950797162
DE,2022-09,122.1,111.77053932412846
DE,2022-10,123.5,113.05210160958119
DE,2022-11,123.5,113.05210160958119
DE,2022-12,122.0,111.67899916088182
DE,2023-01,122.6,112.22824014036156
DE,2023-02,123.8,113.32672209932106
DE,2023-03,125.1,114.51674422152718
DE,2023-04,125.8,115.15752536425356
DE,2023-05,125.6,114.9744450377603
DE,2023-06,126.1,115.43214585399342
DE,2023-07,126.7,115.98138683347318
DE,2023-08,127.2,116.4390876497063
DE,2023-09,127.4,116.62216797619955
DE,2023-10,127.2,116.4390876497063
DE,2023-11,126.3,115.61522618048667
DE,2023-12,126.6,115.88984667022655
DE,2024-01,126.4,115.7067663437333
DE,2024-02,127.2,116.4390876497063
DE,2024-03,128.0,117.1714089556793
DE,2024-04,128.8,117.9037302616523
DE,2024-05,129.1,118.17835075139216
DE,2024-06,129.3,118.36143107788541
DE,2024-07,130.0,119.00221222061178
DE,2024-08,129.8,118.81913189411854
DE,2024-09,129.7,118.72759173087191
DE,2024-10,130.2,119.18529254710502
DE,2024-11,129.3,118.36143107788541
