outcome=y_cyber: {'att_overall': 0.08927433516782658, 'att_overall_se': 0.13498301941921664, 'att_overall_full_horizon': -0.02552392430062708, 'estimator': "differences.ATTgt (control_group=not_yet_treated, base_period=universal, analytic SEs; overall = mean event ATT e in [0,12]; SE is the package's full-horizon overall SE, reported as approximation)"}

 rel_month       att     ci_lo    ci_hi
       -24  0.372655  0.141015 0.604295
       -23  0.376837  0.063197 0.690477
       -22  0.334070  0.098352 0.569788
       -21  0.330019  0.115142 0.544897
       -20  0.133187 -0.143708 0.410083
       -19  0.350091  0.058282 0.641900
       -18  0.081532 -0.193211 0.356276
       -17  0.156066 -0.087784 0.399915
       -16  0.357637  0.002470 0.712804
       -15  0.238480 -0.130611 0.607572
       -14  0.176551 -0.034707 0.387809
       -13  0.389170  0.072125 0.706215
       -12  0.121580 -0.063700 0.306860
       -11  0.273520 -0.022649 0.569689
       -10  0.321303 -0.013966 0.656573
        -9  0.220498 -0.253990 0.694986
        -8  0.056423 -0.282872 0.395719
        -7 -0.011648 -0.286551 0.263255
        -6  0.031451 -0.347707 0.410609
        -5  0.083397 -0.231595 0.398389
        -4 -0.074852 -0.336589 0.186885
        -3  0.100492 -0.193814 0.394797
        -2  0.349185  0.105128 0.593243
        -1  0.000000       NaN      NaN
         0  0.052812 -0.178496 0.284120
         1  0.157877 -0.163490 0.479245
         2 -0.011698 -0.272768 0.249373
         3  0.042446 -0.260972 0.345865
         4  0.122601 -0.248110 0.493313
         5  0.154827 -0.148535 0.458190
         6 -0.128882 -0.426637 0.168873
         7  0.044803 -0.202174 0.291781
         8  0.329242 -0.125406 0.783891
         9  0.097312 -0.326561 0.521184
        10  0.077971 -0.340343 0.496284
        11  0.161980 -0.212374 0.536334
        12  0.059273 -0.423265 0.541811

outcome=share_cyber: {'att_overall': 0.003106215481193036, 'att_overall_se': 0.004987499114993847, 'att_overall_full_horizon': 0.0029319470530234596, 'estimator': "differences.ATTgt (control_group=not_yet_treated, base_period=universal, analytic SEs; overall = mean event ATT e in [0,12]; SE is the package's full-horizon overall SE, reported as approximation)"}

 rel_month       att     ci_lo    ci_hi
       -24  0.005808 -0.000457 0.012073
       -23  0.015780  0.000497 0.031062
       -22  0.005880 -0.001619 0.013379
       -21  0.007245 -0.003303 0.017793
       -20 -0.004219 -0.013493 0.005055
       -19  0.003728 -0.006734 0.014190
       -18  0.000897 -0.007749 0.009544
       -17  0.005567 -0.008183 0.019317
       -16  0.004275 -0.007094 0.015644
       -15  0.007666 -0.007385 0.022717
       -14  0.001881 -0.004251 0.008013
       -13  0.009891 -0.002463 0.022246
       -12  0.002126 -0.007694 0.011945
       -11  0.005172 -0.001192 0.011535
       -10  0.002506 -0.006248 0.011261
        -9 -0.000048 -0.012424 0.012329
        -8  0.002225 -0.008880 0.013329
        -7 -0.000663 -0.015033 0.013706
        -6  0.000563 -0.013916 0.015041
        -5 -0.001702 -0.013024 0.009620
        -4 -0.000724 -0.014335 0.012886
        -3  0.000150 -0.006661 0.006961
        -2  0.008576  0.000734 0.016419
        -1  0.000000       NaN      NaN
         0  0.002749 -0.005879 0.011377
         1  0.004184 -0.006470 0.014838
         2 -0.002960 -0.009359 0.003440
         3  0.003016 -0.011418 0.017449
         4  0.003037 -0.012361 0.018436
         5  0.002791 -0.007337 0.012919
         6 -0.002178 -0.011008 0.006652
         7 -0.001074 -0.009364 0.007215
         8  0.012911 -0.007174 0.032996
         9  0.002277 -0.005315 0.009870
        10 -0.001241 -0.013383 0.010901
        11  0.015707 -0.003222 0.034637
        12  0.001161 -0.006046 0.008368
