country,months_observed,cyber_tenders_total,cyber_strict_total,ict72_tenders_total,mean_cyber_share,cyber_est_value_eur,cyber_est_value_eur_real,cyber_awd_value_eur,median_est_value_strict_eur,group,treat_month
BE,68,33.0,33.0,3897.0,0.008096704979893796,0.0,0.0,0.0,,early,2024-10
DE,68,48.0,48.0,16556.0,0.002724682843614348,0.0,0.0,0.0,,late,2025-12
DK,68,17.0,17.0,1353.0,0.011687081811100343,0.0,0.0,0.0,,mid,2025-07
ES,68,72.0,72.0,12359.0,0.005842055178776845,0.0,0.0,0.0,,control,
FI,68,36.0,36.0,3566.0,0.009313381830656881,0.0,0.0,0.0,,mid,2025-04
FR,68,133.0,133.0,12919.0,0.010398063281156299,0.0,0.0,0.0,,control,
HR,68,4.0,4.0,1601.0,0.0014347202295552368,0.0,0.0,0.0,,early,2024-02
HU,68,1.0,1.0,1228.0,0.0005070993914807302,0.0,0.0,0.0,,mid,2025-01
IE,68,105.0,105.0,3117.0,0.028851364056739038,0.0,0.0,0.0,,control,
IT,68,3.0,3.0,3016.0,0.0013332255979314803,0.0,0.0,0.0,,early,2024-10
LT,68,2.0,2.0,3315.0,0.0006002400960384153,0.0,0.0,0.0,,early,2024-10
LV,68,7.0,7.0,1071.0,0.006755165834449722,0.0,0.0,0.0,,early,2024-09
SE,68,22.0,22.0,5850.0,0.003702990769046611,0.0,0.0,0.0,,late,2026-01
SK,68,4.0,4.0,1664.0,0.0024896637948108534,0.0,0.0,0.0,,mid,2025-01
