country,month,awd_median_eur__cyber_broad,awd_median_eur__cyber_strict,awd_median_eur__ict_generic,awd_median_eur__other,awd_total_eur__cyber_broad,awd_total_eur__cyber_strict,awd_total_eur__ict_generic,awd_total_eur__other,awd_total_eur_real__cyber_broad,awd_total_eur_real__cyber_strict,awd_total_eur_real__ict_generic,awd_total_eur_real__other,est_median_eur__cyber_broad,est_median_eur__cyber_strict,est_median_eur__ict_generic,est_median_eur__other,est_total_eur__cyber_broad,est_total_eur__cyber_strict,est_total_eur__ict_generic,est_total_eur__other,est_total_eur_real__cyber_broad,est_total_eur_real__cyber_strict,est_total_eur_real__ict_generic,est_total_eur_real__other,n_awards__cyber_broad,n_awards__cyber_strict,n_awards__ict_generic,n_awards__other,n_tenders__cyber_broad,n_tenders__cyber_strict,n_tenders__ict_generic,n_tenders__other,n_cyber,n_cyber_strict,n_ict72,n_ict_generic,cyber_share,v_cyber_real,v_cyber_nom,v_cyber_awd,v_cyber_awd_real,cyber_strict_est_median_eur,cyber_strict_awd_median_eur,group,treat_month,treated,rel_month,post_eforms
BE,2021-01,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,36.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-45.0,0
BE,2021-02,,,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,23.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0,0.0,,,,,early,2024-10,0,-44.0,0
BE,2021-03,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,25.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-43.0,0
BE,2021-04,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,27.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-42.0,0
BE,2021-05,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,31.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-41.0,0
BE,2021-06,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,20.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-40.0,0
BE,2021-07,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,26.0,0.0,0.0,1.0,50.0,0.0,1.0,1.0,51.0,50.0,0.0196078431372549,,,0.0,0.0,,,early,2024-10,0,-39.0,0
BE,2021-08,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,15.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-38.0,0
BE,2021-09,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,15.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-37.0,0
BE,2021-10,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,33.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-36.0,0
