rel_month,att,se,ci_lo,ci_hi
-18,5.173415616454184,2.5177821517700805,0.2386532780670656,10.108177954841302
-17,3.4121791524172993,2.5552573080603906,-1.5960331426138366,8.420391447448434
-16,5.165317640353825,2.706097481237007,-0.13853596152526304,10.469171242232914
-15,8.283008248725046,3.174865412476883,2.060386384508453,14.50563011294164
-14,1.93668289324378,3.050877893283071,-4.042927898820473,7.916293685308034
-13,2.3755804137595464,3.0918904676135344,-3.6844135469056876,8.43557437442478
-12,3.462413595893407,4.356273103023796,-5.0757247928537765,12.000551984640591
-11,1.9014659106605425,3.585936544944058,-5.126840568275808,8.929772389596893
-10,0.11178374048478523,3.126947665819773,-6.016921066063558,6.240488547033129
-9,2.7155680690598656,2.802245798606876,-2.776732772038293,8.207868910158023
-8,-1.1129371580505631,3.439839548468372,-7.854898785645094,5.6290244695439675
-7,1.35628108877471,4.428338050607402,-7.323102001784108,10.035664179333528
-6,-0.3928648551698316,3.150459380682021,-6.567651776062957,5.781922065723294
-5,-1.6012419596910739,1.7569744923967598,-5.044848686544266,1.8423647671621184
-4,-1.5799739825934465,2.875605466540925,-7.216057130760159,4.056109165573266
-3,1.3751465772706948,3.168213036217412,-4.834436869065726,7.584730023607117
-2,0.06544449986859771,3.6497583115821364,-7.087950343108107,7.2188393428453015
-1,0.0,,,
0,8.763495834850499,2.8586740618003406,3.1605976301830028,14.366394039517996
1,3.9583996325826636,3.168088531772957,-2.2509397895267105,10.167739054692039
2,-1.9195886852361523,2.389015499849041,-6.6019730234482275,2.7627956529759228
3,-0.5014285606249627,4.968553953371064,-10.23961536447635,9.236758243226426
4,3.6224021706721445,2.9952551550030773,-2.2481900576418243,9.492994398986113
5,2.1650040687617937,2.9325722115351573,-3.582731847910092,7.91273998543368
6,-1.9144370638205324,4.014432951495668,-9.782581067102871,5.953706939461807
7,2.64880351813725,4.016629102617444,-5.223644862248378,10.521251898522879
8,3.973969856369685,3.079164298522745,-2.0610812712164357,10.009020983955805
9,-0.015562681397674805,4.442955873756279,-8.723596178860669,8.692470816065319
10,1.4440183225363379,5.579276278466764,-9.491162243057186,12.37919888812986
11,2.237068979326648,5.09977583948,-7.758307995281673,12.23244595393497
12,5.197104727930664,3.8670586929876865,-2.382191036427736,12.776400492289063
13,2.322313744291938,4.647456820929666,-6.786534244435222,11.431161733019097
14,0.94960979713791,5.776336773651864,-10.371802241794038,12.271021836069858
15,-0.21528586598495195,1.5568212604644862,-3.2665994668615954,2.8360277348916916
16,-15.838866446284877,3.1425435120724496,-21.99813854979689,-9.679594342772862
17,-2.845120597567041,4.532047445226962,-11.72777036643865,6.037529171304568
18,-12.860108590091482,3.779132182918589,-20.267071561428153,-5.453145618754812
