rel_month,att,se,ci_lo,ci_hi
-18,0.010502230008484026,0.014220086653874075,-0.017368627690147853,0.0383730877071159
-17,0.010502230008484026,0.014220086653874075,-0.017368627690147853,0.0383730877071159
-16,0.010502230008484026,0.014220086653874075,-0.017368627690147853,0.0383730877071159
-15,0.010502230008484026,0.014220086653874075,-0.017368627690147853,0.0383730877071159
-14,0.010502230008484026,0.014220086653874075,-0.017368627690147853,0.0383730877071159
-13,0.010502230008484026,0.014220086653874075,-0.017368627690147853,0.0383730877071159
-12,0.010502230008484026,0.014220086653874075,-0.017368627690147853,0.0383730877071159
-11,-0.010502230008484019,0.026398398785810708,-0.062242140878198904,0.04123768086123086
-10,-0.026255575021210044,0.03413224752757307,-0.09315355088665958,0.040642400844239486
-9,-0.005251115004242005,0.020969622599288067,-0.04635082006824381,0.0358485900597598
-8,0.010502230008484026,0.014220086653874075,-0.017368627690147853,0.0383730877071159
-7,0.010502230008484026,0.014220086653874075,-0.017368627690147853,0.0383730877071159
-6,0.010502230008484026,0.014220086653874075,-0.017368627690147853,0.0383730877071159
-5,-0.0021004460016967996,0.01788764312158005,-0.037159582288299325,0.03295869028490572
-4,-0.0021004460016967996,0.01788764312158005,-0.037159582288299325,0.03295869028490572
-3,0.010502230008484026,0.014220086653874075,-0.017368627690147853,0.0383730877071159
-2,0.0,,,
-1,0.0,,,
0,0.010502230008484026,0.014220086653874075,-0.017368627690147853,0.0383730877071159
1,-0.00750159286320287,0.019564126892756183,-0.045846576961976505,0.030843391235570762
2,-0.00750159286320287,0.019564126892756183,-0.045846576961976505,0.030843391235570762
3,0.012602676010180825,0.016822652140126453,-0.020369116308912683,0.04557446832927434
4,-0.03540751831431756,0.03372193653905478,-0.1015012994198102,0.03068626279117509
5,-0.044409429750161,0.03699260288307608,-0.11691359909538268,0.028094739595060675
6,0.003600764574337379,0.01691249604351589,-0.029547118559629926,0.03674864770830469
7,0.013862943611198907,0.01828647854801652,-0.021977895746977776,0.04970378296937559
8,0.019254088348887366,0.024648909808357117,-0.02905688713366867,0.0675650638314434
9,0.025672117798516497,0.03201875639831667,-0.037083491571945584,0.08842772716897858
10,0.0,0.05134423559703299,-0.10063285258392406,0.10063285258392406
11,0.025672117798516497,0.03201875639831667,-0.037083491571945584,0.08842772716897858
12,0.014669781599152287,0.03151470420157512,-0.04709790361936807,0.07643746681767265
13,-0.012377628224284738,0.03498750557049307,-0.08095187905134568,0.0561966226027762
14,0.028881132523331056,0.03585993190277381,-0.04140304249416451,0.09916530754082661
15,0.028881132523331056,0.03585993190277381,-0.04140304249416451,0.09916530754082661
16,-0.06601401719618528,0.06679527536297625,-0.1969303512450543,0.06490231685268376
17,0.0,,,
18,0.0,,,
