rel_month,att,se,ci_lo,ci_hi
-18,0.06048891372342963,0.15080486873679133,-0.23508319769397173,0.356061025140831
-17,0.1841594800689419,0.11581898564373473,-0.042841560518739746,0.41116052065662356
-16,0.3756903041110309,0.16582458129838085,0.05068009701477022,0.7007005112072915
-15,0.2236068434167649,0.20121608005697383,-0.17076942660523203,0.6179831134387619
-14,0.23630146718873427,0.10947713117752632,0.02173023295001561,0.45087270142745295
-13,0.3548444401742036,0.16363772772150875,0.03412038732807482,0.6755684930203323
-12,0.10299174156422641,0.0935569743684646,-0.08037655870050114,0.28636004182895397
-11,0.28726656033033326,0.14579545053764253,0.001512728166763011,0.5730203924939035
-10,0.39476364109277806,0.17844217173990293,0.045023411159457294,0.7445038710260988
-9,0.18197848040844114,0.25404899219830496,-0.31594839460893376,0.679905355425816
-8,0.0792702194292657,0.1522028632061831,-0.2190419107987297,0.3775823496572611
-7,0.02179101245194126,0.1504956172364346,-0.2731749771625959,0.31675700206647844
-6,0.021094036184443193,0.19512288509835454,-0.36133979116787895,0.4035278635367653
-5,0.10545283741294927,0.17691110878138255,-0.24128656426360823,0.45219223908950673
-4,-0.046463155528774024,0.13885254934214714,-0.31860915140095314,0.2256828403434051
-3,0.1910283472798271,0.17156021199998334,-0.14522348942019664,0.5272801839798509
-2,0.3975344247205692,0.14741990821159548,0.1085967140216415,0.6864721354194969
-1,0.0,,,
0,0.1218206942107488,0.14215620705943988,-0.1568003518045719,0.40044174022606954
1,0.14474699788657644,0.18593008201886319,-0.21966926651297372,0.5091632622861266
2,0.024368819602544,0.1391827809448966,-0.24842441831758105,0.29716205752266905
3,0.07422689282227803,0.1575957141551622,-0.23465503103970908,0.3831088166842651
4,0.15630491321884846,0.18376526803109,-0.2038683937314377,0.5164782201691346
5,0.19858742674364546,0.15057828496679873,-0.0965405886450891,0.49371544213238006
6,-0.09719921506582718,0.14247106180675934,-0.3764373650462555,0.18203893491460116
7,0.018679863364672977,0.11804291225274978,-0.21267999328093845,0.2500397200102844
8,0.3839311495379105,0.23681277499417952,-0.08021336052966882,0.8480756596054899
9,0.16018107583054347,0.19087729363654796,-0.21393154516356694,0.5342936968246539
10,0.07208923169058869,0.18664541972658474,-0.2937290688528792,0.43790753223405654
11,0.21668599358132948,0.18231375335639655,-0.14064239688352617,0.5740143840461851
12,0.04324478622929986,0.22556145030121574,-0.39884753266170436,0.48533710512030404
13,0.08460623636356103,0.2212037962431445,-0.3489452375165387,0.5181577102436608
14,-0.08676723294602595,0.14051176256295478,-0.36216522697366077,0.18863076108160887
15,0.0639201059043714,0.22110787921010502,-0.369443374045467,0.49728358585420984
16,-0.0590273459291736,0.3287540809136316,-0.7033735042904583,0.5853188124321111
17,-0.014566018254009713,0.20757075324577973,-0.42139721885958853,0.3922651823515691
18,-0.010695383423212357,0.25015519387340945,-0.5009905539607297,0.47959978711430495
