term,rel_month,beta
ev_m18,-18,0.39038568212490543
ev_m17,-17,0.27774497579003427
ev_m16,-16,0.45803762639788004
ev_m15,-15,0.35437822989710727
ev_m14,-14,0.21038158519639097
ev_m13,-13,0.46766873809787307
ev_m12,-12,0.2565804171504996
ev_m11,-11,0.3414233466904065
ev_m10,-10,0.4042263339350435
ev_m9,-9,0.31011033435446317
ev_m8,-8,0.12210418547092836
ev_m7,-7,0.09333205811372618
ev_m6,-6,0.0934549360644586
ev_m5,-5,0.13386210867933815
ev_m4,-4,0.0021237273526918607
ev_m3,-3,0.11260447502166543
ev_m2,-2,0.28581387009166326
ev_p0,0,0.07003376551520969
ev_p1,1,0.13934588514901
ev_p2,2,-0.017978947652202648
ev_p3,3,0.036619484625182594
ev_p4,4,0.0813328625816206
ev_p5,5,0.149932010326052
ev_p6,6,-0.15976006277876098
ev_p7,7,-0.1582089667594781
ev_p8,8,0.2074734550882953
ev_p9,9,-0.019801849423399857
ev_p10,10,-0.10702020588974404
ev_p11,11,0.11225999318800421
ev_p12,12,-0.11433586291181987
ev_p13,13,-0.05298061951660636
ev_p14,14,-0.16824929714459888
ev_p15,15,-0.011839902506075582
ev_p16,16,-0.19284285562101144
ev_p17,17,-0.1040728512511089
ev_p18,18,-0.13192242020354733
